battery_id,cycle_number,capacity_Ah,soc_rmse,soc_mae,soc_r2,soc_max_abs_error,voltage_rmse_V,voltage_mae_V,voltage_r2,voltage_max_abs_error_V
B0007,31,1.8834677437950849,0.03636625601225197,0.032149547011513485,0.9847237832967504,0.06099771785325757,0.18431779041401083,0.15181508102452018,0.42160407515498155,0.9745059087162597
B0007,32,1.8628211117905844,0.04229849173067088,0.03726135321741126,0.9791285740514496,0.07131170658512667,0.18542691318112506,0.15158224184136626,0.39828003602388573,1.038289145390538
B0007,33,1.852085039652352,0.0454312936228825,0.03997362797888259,0.9759238845979101,0.07667699155259451,0.184289079343362,0.15155724357521452,0.3908504672334926,0.9923189691775116
B0007,34,1.8469504648208708,0.04689790733291659,0.04123473213433122,0.9743443813102158,0.07921423863190305,0.19087798395744374,0.15399583558469487,0.3858331918587825,1.1104105736995837
B0007,35,1.836828431169018,0.049868106469903174,0.04380899231155968,0.9709992082324375,0.08429937598038668,0.18684530765940172,0.15274662796203195,0.3839453793791524,1.0204503129975997
B0007,36,1.8371619619672277,0.04975490854234233,0.04370900538546876,0.9711193657760551,0.0841129620364021,0.1901503939074352,0.15339065424615464,0.3906976926608954,1.113080020894754
B0007,37,1.8316722583718852,0.05133279277208988,0.04506816178654123,0.9692593194735093,0.08683981592290799,0.19433447344654645,0.15486411434183908,0.38779320319741384,1.1774435226865245
B0007,38,1.8211470951317783,0.054404344431374686,0.047724894170080245,0.96548093538088,0.09209494548398944,0.18658552929607727,0.1528649690316016,0.3798658501925868,0.9976132224315748
B0007,39,1.816506091511515,0.05574640022834701,0.0488849857399211,0.9637478648342187,0.09441225781616436,0.19037339915154558,0.15434157412050317,0.3770994805146527,1.0634560122311831
B0007,40,1.8113815601504557,0.057260736415926716,0.050199227067747876,0.9617589694272591,0.09699060982999393,0.18750653790683458,0.15331631364922693,0.3780462480468385,1.003176586574405
B0007,41,1.8116056333939583,0.057175579975536336,0.05012143183840454,0.961865715436679,0.09686819183811156,0.19087428892097358,0.15386784013009044,0.3894062415710988,1.102324381002278
B0007,42,1.8060548955557405,0.05878082766602896,0.05150584120192294,0.9597001264974101,0.09961669491238276,0.18937069485929092,0.15323236247234073,0.39233025575529845,1.0767303961417731
B0007,43,1.8132041826994056,0.058127549040484845,0.05125353516426791,0.9607795629835693,0.09829579370314856,0.19820971080481653,0.15766750898720924,0.38753489968672183,1.08008832153648
B0007,44,1.8062641938283532,0.058745601343286546,0.05148055212853448,0.9597569568105554,0.09953950589730765,0.19128218083234996,0.15409967957612936,0.3918913472835901,1.088629319070888
B0007,45,1.7958310249900458,0.061766547509879484,0.05409007094342702,0.9555017979567247,0.10474465728049047,0.19484867295895414,0.1560206275934322,0.37861184438525075,1.1187967783462152
B0007,46,1.7858852600390451,0.06465509426045842,0.05658569240327475,0.9512454240113656,0.10971462784565075,0.1895590753278198,0.1545199211415375,0.3747323468454584,0.9927967064382792
B0007,47,1.780326860450275,0.06626380656405959,0.05797493164971304,0.9487846388759793,0.11246587347180531,0.19265834363140463,0.15564727880602722,0.37416167193193384,1.0494342745252934
B0007,48,1.8150756899575575,0.05620013976744718,0.04928012366260247,0.9631919428448501,0.09513462929788563,0.1840186692716217,0.15151300821380437,0.40116768853745255,0.9751324057313466
B0007,49,1.815702515484584,0.056007117708284225,0.049111407498978236,0.9634365427859032,0.0948281436692676,0.18180288490237434,0.14987123546896006,0.4157992431985009,0.9787173389447754
B0007,50,1.800243217805667,0.060526853783107404,0.05302655938191241,0.9572913962532623,0.10255543945740596,0.1841000142281854,0.15141615991824597,0.3996624596013052,0.9759269469763567
B0007,51,1.7904476205609308,0.0633662499235594,0.055478379884483175,0.9531901529069547,0.10744523561621433,0.18771748121657295,0.15299815157474342,0.3935743250379452,1.0274327370964214
B0007,52,1.780343032300132,0.0664251594985129,0.058136336190536896,0.9488383983356441,0.11247978676778184,0.18858984520845776,0.15406976383271428,0.3965484287742779,1.0001606050486709
B0007,53,1.775328769596812,0.06786092791802094,0.05937173125405712,0.9465934052117214,0.11496794031530899,0.1930742190077016,0.155565027368687,0.3977708051303942,1.0889576979586955
B0007,54,1.770262973473285,0.06947234743406146,0.06078018099403392,0.9443270133346189,0.11750535506599702,0.1930899426840193,0.15556434970455174,0.4097325845864884,1.094080675133851
B0007,55,1.760081061854204,0.072629957148424,0.06353591461785399,0.9394783689436935,0.12261818204244154,0.1903035784842073,0.15499749687358136,0.41325194009853294,1.0130189823708826
B0007,56,1.749647593537689,0.07577552786887425,0.06626947925090805,0.9344766845975012,0.12779463069630695,0.19894419712284503,0.15816140088910313,0.41059848816040845,1.163150465218144
B0007,57,1.749650075059311,0.07564846861797973,0.06613509891549392,0.9343440131609481,0.12779260130780573,0.19743751055107917,0.15784023497240676,0.4082936439957968,1.122462622638201
B0007,58,1.745028739214683,0.07719469688596867,0.06749968661985971,0.9319854826030096,0.13013801233041947,0.19809623209271976,0.15804159050662078,0.41518062253024446,1.134763743318524
B0007,59,1.739645745528673,0.07873431715207352,0.06881592619832436,0.9292625513320578,0.1327692428617574,0.19449160471412832,0.15647824839671937,0.42279084870697914,1.0770629391923512
B0007,60,1.7285642277717963,0.0823035805497451,0.07196091049266279,0.9234790405733364,0.13833074234292475,0.19964739068186893,0.15815270581424343,0.42722556496968644,1.1635238310579306
B0007,61,1.723900324588418,0.08355421929147362,0.07300619755818626,0.9207538166113827,0.14063642766238818,0.19318775779276032,0.15620856897098215,0.42304267269098006,1.0156445747633671
